nom_mun
Águas Formosas
Águas Vermelhas
Além Paraíba
Alfenas
Almenara
Alto Caparaó
Araújos
Araxá
Bandeira do Sul
Barão de Cocais
Barbacena
Barroso
Bela Vista de Minas
Belo Horizonte
Betim
Bicas
Brasilândia de Minas
Brumadinho
Buritizeiro
Cabeceira Grande
Cachoeira da Prata
Caeté
Camanducaia
Campanha
Campo Belo
Campos Altos
Capetinga
Capim Branco
Capinópolis
Cataguases
Caxambu
Centralina
Conceição das Alagoas
Conceição do Rio Verde
Confins
Congonhas
Conselheiro Lafaiete
Contagem
Coronel Fabriciano
Couto de Magalhães de Minas
Cruzeiro da Fortaleza
Cruzília
Curvelo
Delta
Descoberto
Diamantina
Divinópolis
Divisa Alegre
Dom Cavati
Dores de Campos
Dores do Indaiá
Ewbank da Câmara
Extrema
Fronteira
Funilândia
Governador Valadares
Guarará
Guaxupé
Ibiraci
Ibirité
Igarapé
Igaratinga
Inhaúma
Ipaba
Ipatinga
Itabira
Itabirito
Itajubá
Itamonte
Itanhandu
Itaobim
Itaú de Minas
Itaúna
Ituiutaba
Janaúba
Japonvar
João Monlevade
Jordânia
Juatuba
Juiz de Fora
Lagoa da Prata
Lagoa Santa
Lambari
Leopoldina
Machacalis
Maravilhas
Mar de Espanha
Mariana
Marilac
Mário Campos
Marliéria
Mata Verde
Mateus Leme
Matias Barbosa
Mato Verde
Matozinhos
Minduri
Montes Claros
Munhoz
Muriaé
Nanuque
Naque
Nova Era
Nova Lima
Nova Serrana
Olímpio Noronha
Ouro Preto
Papagaios
Pará de Minas
Paraopeba
Passa Quatro
Passos
Pedra Azul
Pedro Leopoldo
Pequeri
Pingo-d'Água
Piranguinho
Pirapora
Piumhi
Planura
Poços de Caldas
Pompéu
Ponte Nova
Pouso Alegre
Prudente de Morais
Raposos
Ribeirão das Neves
Rio Acima
Rio Novo
Rio Preto
Rochedo de Minas
Rubim
Sabará
Salto da Divisa
Santa Bárbara
Santa Cruz de Minas
Santa Luzia
Santana do Jacaré
Santana do Paraíso
Santos Dumont
São Bento Abade
São Brás do Suaçuí
São Gonçalo do Pará
São Gonçalo do Rio Abaixo
São Gotardo
São João Batista do Glória
São João del Rei
São João Nepomuceno
São Joaquim de Bicas
São José da Lapa
São Lourenço
Sapucaí-Mirim
Sarzedo
Serra dos Aimorés
Sete Lagoas
Simão Pereira
Taiobeiras
Timóteo
Tiradentes
Três Corações
Três Marias
Tupaciguara
Ubá
Uberaba
Uberlândia
Umburatiba
Urucânia
Varginha
Várzea da Palma
Vespasiano
Viçosa
Mathias Lobato
Volta Grande
