nom_mun
Águas Formosas
Além Paraíba
Alfenas
Almenara
Alpercata
Antônio Carlos
Arantina
Araporã
Araxá
Barão de Cocais
Barbacena
Barroso
Bela Vista de Minas
Belo Horizonte
Belo Oriente
Betim
Bicas
Bocaiúva
Brasilândia de Minas
Brumadinho
Buritizeiro
Cabeceira Grande
Caeté
Camanducaia
Campo Belo
Capim Branco
Capinópolis
Carandaí
Carbonita
Carmo de Minas
Cataguases
Caxambu
Cedro do Abaeté
Central de Minas
Centralina
Claro dos Poções
Conceição do Rio Verde
Confins
Congonhas
Conselheiro Lafaiete
Contagem
Corinto
Coronel Fabriciano
Coronel Xavier Chaves
Couto de Magalhães de Minas
Cruzília
Curvelo
Datas
Delta
Descoberto
Diamantina
Dionísio
Divinópolis
Divisa Alegre
Dom Cavati
Dores do Indaiá
Engenheiro Caldas
Entre Folhas
Esmeraldas
Ewbank da Câmara
Frei Inocêncio
Fronteira
Funilândia
Galiléia
Goiabeira
Gouveia
Governador Valadares
Guanhães
Guaxupé
Ibirité
Igarapé
Inhaúma
Ipaba
Ipatinga
Itabira
Itabirito
Itajubá
Itanhandu
Itapeva
Ituiutaba
Iturama
Jaguaraçu
Janaúba
João Monlevade
Nova União
Juatuba
Juiz de Fora
Lagoa da Prata
Lagoa Santa
Leme do Prado
Leopoldina
Limeira do Oeste
Machacalis
Mar de Espanha
Mariana
Marilac
Mário Campos
Marliéria
Mata Verde
Mateus Leme
Matias Barbosa
Matozinhos
Medina
Minduri
Montes Claros
Munhoz
Muriaé
Nanuque
Naque
Nova Era
Nova Lima
Nova Serrana
Olímpio Noronha
Ouro Preto
Paracatu
Pará de Minas
Paraopeba
Passa Quatro
Passos
Pedra Azul
Pedro Leopoldo
Periquito
Pescador
Piedade de Ponte Nova
Pingo-d'Água
Pirajuba
Pirapora
Planura
Poços de Caldas
Pompéu
Ponte Nova
Presidente Kubitschek
Prudente de Morais
Raposos
Recreio
Ribeirão das Neves
Rio Acima
Rio Doce
Rio Novo
Rio Piracicaba
Rio Preto
Rubim
Sabará
Salinas
Salto da Divisa
Santa Bárbara
Santa Cruz de Minas
Santa Luzia
Santana do Deserto
Santana do Jacaré
Santana do Paraíso
Santos Dumont
São Brás do Suaçuí
São Gonçalo do Rio Abaixo
São João Batista do Glória
São João del Rei
São João do Manteninha
São Joaquim de Bicas
São José da Lapa
São Lourenço
São Vicente de Minas
Sarzedo
Senador Amaral
Serra dos Aimorés
Serranos
Sete Lagoas
Simão Pereira
Taiobeiras
Teófilo Otoni
Timóteo
Três Corações
Três Marias
Tupaciguara
Turmalina
Ubá
Uberaba
Uberlândia
Umburatiba
Uruana de Minas
Urucânia
Vargem Alegre
Varginha
Varjão de Minas
Várzea da Palma
Vespasiano
Viçosa
Mathias Lobato
Volta Grande
