nom_mun
Abadia dos Dourados
Abre Campo
Açucena
Água Boa
Águas Vermelhas
Aiuruoca
Alagoa
Alto Rio Doce
Alvarenga
Alvorada de Minas
Amparo do Serra
Cachoeira de Pajeú
Angelândia
Antônio Dias
Araçuaí
Araponga
Aricanduva
Arinos
Ataléia
Augusto de Lima
Bandeira
Barra Longa
Belo Vale
Berilo
Bertópolis
Berizal
Bias Fortes
Biquinhas
Bom Jesus do Galho
Bonfim
Bonito de Minas
Botumirim
Brasília de Minas
Brás Pires
Braúnas
Bueno Brandão
Buenópolis
Bugre
Camacho
Campo Azul
Canaã
Cantagalo
Caparaó
Capela Nova
Capitão Enéas
Caputira
Caraí
Caranaíba
Carmésia
Carvalhos
Casa Grande
Catas Altas da Noruega
Catuji
Chalé
Chapada do Norte
Chapada Gaúcha
Cipotânea
Coluna
Comendador Gomes
Comercinho
Conceição de Ipanema
Conceição do Mato Dentro
Cônego Marinho
Coração de Jesus
Cordisburgo
Coroaci
Coronel Murta
Crisólita
Cristália
Curral de Dentro
Desterro de Entre Rios
Desterro do Melo
Diogo de Vasconcelos
Divino
Dom Joaquim
Dores de Guanhães
Dores do Turvo
Durandé
Engenheiro Navarro
Ervália
Espinosa
Felício dos Santos
São Gonçalo do Rio Preto
Felisburgo
Ferros
Fervedouro
Formoso
Francisco Badaró
Francisco Dumont
Francisco Sá
Franciscópolis
Frei Gaspar
Frei Lagonegro
Fronteira dos Vales
Fruta de Leite
Gameleiras
Glaucilândia
Gonzaga
Grão Mogol
Guaraciaba
Guaraciama
Guarda-Mor
Guiricema
Gurinhatã
Ibiaí
Ibiracatu
Icaraí de Minas
Imbé de Minas
Indaiabira
Inhapim
Itacambira
Itacarambi
Itaipé
Itamarandiba
Itambacuri
Itambé do Mato Dentro
Itaverava
Itinga
Itueta
Jaboticatubas
Jaíba
Jampruca
Januária
Japonvar
Jeceaba
Jenipapo de Minas
Jequeri
Jequitaí
Jequitibá
Jequitinhonha
Joaíma
Joanésia
Joaquim Felício
José Gonçalves de Minas
José Raydan
Josenópolis
Juramento
Juvenília
Ladainha
Lagoa dos Patos
Lajinha
Lamim
Lassance
Lontra
Luisburgo
Luislândia
Malacacheta
Mamonas
Manga
Martins Soares
Materlândia
Matias Cardoso
Medeiros
Mendes Pimentel
Mesquita
Minas Novas
Mirabela
Miravânia
Monjolos
Montalvânia
Monte Azul
Monte Formoso
Montezuma
Morro da Garça
Morro do Pilar
Mutum
Nacip Raydan
Ninheira
Nova Belém
Nova Módica
Novo Cruzeiro
Novo Oriente de Minas
Novorizonte
Olhos-d'Água
Oliveira Fortes
Onça de Pitangui
Orizânia
Ouro Verde de Minas
Padre Carvalho
Padre Paraíso
Pai Pedro
Passabém
Patis
Paula Cândido
Paulistas
Pavão
Peçanha
Pedra Bonita
Pedra do Anta
Pedras de Maria da Cruz
Pedro Teixeira
Piedade dos Gerais
Pintópolis
Piranga
Poço Fundo
Pocrane
Ponto Chique
Ponto dos Volantes
Porteirinha
Porto Firme
Poté
Presidente Bernardes
Presidente Juscelino
Raul Soares
Reduto
Ressaquinha
Riachinho
Riacho dos Machados
Rio Espera
Rio Manso
Rio Pardo de Minas
Rio Vermelho
Rosário da Limeira
Rubelita
Sabinópolis
Santa Bárbara do Leste
Santa Bárbara do Tugúrio
Santa Cruz de Salinas
Santa Cruz do Escalvado
Santa Efigênia de Minas
Santa Fé de Minas
Santa Helena de Minas
Santa Margarida
Santana de Pirapama
Santana do Manhuaçu
Santana dos Montes
Santa Rita de Ibitipoca
Santa Rita do Itueto
Santo Antônio do Itambé
Santo Antônio do Jacinto
Santo Antônio do Retiro
Santo Antônio do Rio Abaixo
São Félix de Minas
São Francisco
São Geraldo da Piedade
São João da Lagoa
São João da Ponte
São João das Missões
São João do Manhuaçu
São João do Pacuí
São João do Paraíso
São João Evangelista
São José da Safira
São José do Jacuri
São José do Mantimento
São Miguel do Anta
São Pedro do Suaçuí
São Romão
São Sebastião da Vargem Alegre
São Sebastião do Anta
São Sebastião do Maranhão
São Sebastião do Oeste
São Sebastião do Rio Preto
Sardoá
Setubinha
Sem-Peixe
Senador Modestino Gonçalves
Senhora de Oliveira
Senhora do Porto
Senhora dos Remédios
Sericita
Serra Azul de Minas
Serranópolis de Minas
Serro
Simonésia
Sobrália
Tapiraí
Taquaraçu de Minas
Tarumirim
Ubaí
Ubaporanga
Urucuia
Vargem Grande do Rio Pardo
Varzelândia
Verdelândia
Vermelho Novo
Virgem da Lapa
Virgínia
Virginópolis
Virgolândia
